start_date,end_date,reported_date,country,indicator,adj_value_gdp,unadj_value_mil,frequency,currency,author
1/1/1947,3/31/1947,null,USA,GDP,243.164,58497,quarterly,USD,kshah5@scu.edu
4/1/1947,6/30/1947,null,USA,GDP,245.968,60672,quarterly,USD,kshah5@scu.edu
7/1/1947,9/30/1947,null,USA,GDP,249.585,62196,quarterly,USD,kshah5@scu.edu
10/1/1947,12/31/1947,null,USA,GDP,259.745,68250,quarterly,USD,kshah5@scu.edu
1/1/1948,3/31/1948,null,USA,GDP,265.742,64258,quarterly,USD,kshah5@scu.edu
4/1/1948,6/30/1948,null,USA,GDP,272.567,66539,quarterly,USD,kshah5@scu.edu
7/1/1948,9/30/1948,null,USA,GDP,279.196,69378,quarterly,USD,kshah5@scu.edu
10/1/1948,12/31/1948,null,USA,GDP,280.366,74295,quarterly,USD,kshah5@scu.edu
1/1/1949,3/31/1949,null,USA,GDP,275.034,66185,quarterly,USD,kshah5@scu.edu
4/1/1949,6/30/1949,null,USA,GDP,271.351,66340,quarterly,USD,kshah5@scu.edu
7/1/1949,9/30/1949,null,USA,GDP,272.889,68625,quarterly,USD,kshah5@scu.edu
10/1/1949,12/31/1949,null,USA,GDP,270.627,71322,quarterly,USD,kshah5@scu.edu
1/1/1950,3/31/1950,null,USA,GDP,280.828,68032,quarterly,USD,kshah5@scu.edu
4/1/1950,6/30/1950,null,USA,GDP,290.383,70872,quarterly,USD,kshah5@scu.edu
7/1/1950,9/30/1950,null,USA,GDP,308.153,77178,quarterly,USD,kshah5@scu.edu
10/1/1950,12/31/1950,null,USA,GDP,319.945,83746,quarterly,USD,kshah5@scu.edu
1/1/1951,3/31/1951,null,USA,GDP,336,81603,quarterly,USD,kshah5@scu.edu
4/1/1951,6/30/1951,null,USA,GDP,344.09,84645,quarterly,USD,kshah5@scu.edu
7/1/1951,9/30/1951,null,USA,GDP,351.385,87586,quarterly,USD,kshah5@scu.edu
10/1/1951,12/31/1951,null,USA,GDP,356.178,93076,quarterly,USD,kshah5@scu.edu
1/1/1952,3/31/1952,null,USA,GDP,359.82,87610,quarterly,USD,kshah5@scu.edu
4/1/1952,6/30/1952,null,USA,GDP,361.03,88913,quarterly,USD,kshah5@scu.edu
7/1/1952,9/30/1952,null,USA,GDP,367.701,91270,quarterly,USD,kshah5@scu.edu
10/1/1952,12/31/1952,null,USA,GDP,380.812,99548,quarterly,USD,kshah5@scu.edu
1/1/1953,3/31/1953,null,USA,GDP,387.98,94008,quarterly,USD,kshah5@scu.edu
4/1/1953,6/30/1953,null,USA,GDP,391.749,97392,quarterly,USD,kshah5@scu.edu
7/1/1953,9/30/1953,null,USA,GDP,391.171,96695,quarterly,USD,kshah5@scu.edu
10/1/1953,12/31/1953,null,USA,GDP,385.97,101121,quarterly,USD,kshah5@scu.edu
