date,bond_var_hat,bond_equity_cov_hat,equity_var_hat,bond_forex_cov_hat,equity_forex_cov_hat,forex_var_hat,bond_gold_cov_hat,equity_gold_cov_hat,forex_gold_cov_hat,gold_var_hat,year,month,quarter,year_quarter
2008-03-31,8.35610529788663e-09,8.503911546266634e-08,1.8898073516701506e-05,2.8154156726974274e-08,-1.6359148632514694e-06,2.105644293812759e-05,-1.3952515772627894e-07,4.0700785258472064e-07,-1.8090611842281983e-05,7.945147679955998e-05,2008,3,Q1,2008Q1
2008-06-30,7.37200246580462e-09,7.379112360887996e-08,3.19794461729954e-05,2.2017280005990718e-08,9.67729810303033e-07,2.0873097165904705e-05,-1.1449143442076871e-07,-9.179198360944602e-07,-1.739134351697233e-05,7.800735752168085e-05,2008,6,Q2,2008Q2
2008-09-30,2.079631311262805e-08,-4.6447303434101997e-10,2.8902340025648776e-05,-3.7585461122476167e-08,1.8365095565562866e-06,2.0480358474051696e-05,-3.3915421118492947e-07,1.67248805634645e-06,-1.3652136461711116e-05,7.837585277e-05,2008,9,Q3,2008Q3
2008-12-31,2.011064829714042e-08,1.6326356505184462e-07,0.00012087245361022756,6.234553216360857e-08,4.9458160589686764e-05,3.549247342983539e-05,-3.9006224167303874e-07,-4.997813836742003e-05,-3.386154785917881e-05,8.786927542666281e-05,2008,12,Q4,2008Q4
2009-03-31,2.0415556818464733e-08,5.4901666802887863e-08,0.00013686173217630621,4.277916432203237e-08,4.650828570024344e-05,3.50455930092494e-05,-2.218575972960788e-07,-4.7615102010902876e-05,-3.140039545313266e-05,9.037135460797561e-05,2009,3,Q1,2009Q1
2009-06-30,1.8883346917176178e-08,4.560536592350978e-09,0.00012354520397017573,5.004867991500149e-08,3.47639496903489e-05,3.4741830409041015e-05,-1.1849040960575462e-07,-3.370665093616176e-05,-2.5242122347265894e-05,9.230188600108886e-05,2009,6,Q2,2009Q2
2009-09-30,1.6878764916663125e-08,-1.3126305601879928e-08,0.0001238971174187216,4.0887232352518736e-08,2.768764560178337e-05,3.452938256678745e-05,-8.423008203418129e-08,-2.343943030171757e-05,-2.3175054359755772e-05,9.077150584262415e-05,2009,9,Q3,2009Q3
2009-12-31,1.5013297075259783e-08,-3.709854846272896e-09,0.00012209714507492833,4.820433492274699e-08,2.7830625643600854e-05,3.43971231686643e-05,-9.275588715093945e-08,-2.3922412881042786e-05,-2.35275826943796e-05,8.967574805286711e-05,2009,12,Q4,2009Q4
2010-03-31,1.3705674262486439e-08,8.685347014497777e-09,0.00012169118330391397,4.4871507584551365e-08,2.6531489928724157e-05,3.3779283306426566e-05,-8.213997570108468e-08,-2.1890640278001265e-05,-2.2844907453424537e-05,8.812855898802994e-05,2010,3,Q1,2010Q1
2010-06-30,1.2302894757962267e-08,1.017702782133003e-08,0.00011992913605435815,4.617838819004746e-08,2.6149650158480747e-05,3.343290532170617e-05,-8.348188219087692e-08,-2.1535151529458682e-05,-2.296460057570527e-05,8.733184748264584e-05,2010,6,Q2,2010Q2
2010-09-30,1.1909761987386287e-08,3.3034071525313895e-08,0.00011952523550941669,4.276127775883993e-08,2.5234168003536433e-05,3.291890599953752e-05,-9.491251222168102e-08,-2.218609141257404e-05,-2.2335340961309722e-05,8.652136483577987e-05,2010,9,Q3,2010Q3
2010-12-31,1.0592632433796581e-08,2.994461145734913e-08,0.00011778854057024001,3.949296549336726e-08,2.4628523395078782e-05,3.227243502827902e-05,-8.58249448471448e-08,-2.139938129655546e-05,-2.1897461948822294e-05,8.505104535091697e-05,2010,12,Q4,2010Q4
