start_date,end_date,reported_date,country,indicator,adj_value_unemp,adj_rate,unadj_value,unadj_rate,frequency,currency,author
1/1/1948,1/31/1948,NULL,USA,unemp,2034,3.4,2351,4,monthly,USD,kshah5@scu.edu
2/1/1948,2/28/1948,NULL,USA,unemp,2328,3.8,2807,4.7,monthly,USD,kshah5@scu.edu
3/1/1948,3/31/1948,NULL,USA,unemp,2399,4,2646,4.5,monthly,USD,kshah5@scu.edu
4/1/1948,4/30/1948,NULL,USA,unemp,2386,3.9,2407,4,monthly,USD,kshah5@scu.edu
5/1/1948,5/31/1948,NULL,USA,unemp,2118,3.5,2014,3.4,monthly,USD,kshah5@scu.edu
6/1/1948,6/30/1948,NULL,USA,unemp,2214,3.6,2408,3.9,monthly,USD,kshah5@scu.edu
7/1/1948,7/31/1948,NULL,USA,unemp,2213,3.6,2411,3.9,monthly,USD,kshah5@scu.edu
8/1/1948,8/31/1948,NULL,USA,unemp,2350,3.9,2238,3.6,monthly,USD,kshah5@scu.edu
9/1/1948,9/30/1948,NULL,USA,unemp,2302,3.8,2061,3.4,monthly,USD,kshah5@scu.edu
10/1/1948,10/31/1948,NULL,USA,unemp,2259,3.7,1747,2.9,monthly,USD,kshah5@scu.edu
11/1/1948,11/30/1948,NULL,USA,unemp,2285,3.8,2033,3.3,monthly,USD,kshah5@scu.edu
12/1/1948,12/31/1948,NULL,USA,unemp,2429,4,2205,3.6,monthly,USD,kshah5@scu.edu
1/1/1949,1/31/1949,NULL,USA,unemp,2596,4.3,2995,5,monthly,USD,kshah5@scu.edu
2/1/1949,2/28/1949,NULL,USA,unemp,2849,4.7,3474,5.8,monthly,USD,kshah5@scu.edu
3/1/1949,3/31/1949,NULL,USA,unemp,3030,5,3383,5.6,monthly,USD,kshah5@scu.edu
4/1/1949,4/30/1949,NULL,USA,unemp,3260,5.3,3277,5.4,monthly,USD,kshah5@scu.edu
5/1/1949,5/31/1949,NULL,USA,unemp,3707,6.1,3516,5.7,monthly,USD,kshah5@scu.edu
6/1/1949,6/30/1949,NULL,USA,unemp,3776,6.2,3966,6.4,monthly,USD,kshah5@scu.edu
7/1/1949,7/31/1949,NULL,USA,unemp,4111,6.7,4388,7,monthly,USD,kshah5@scu.edu
8/1/1949,8/31/1949,NULL,USA,unemp,4193,6.8,3956,6.3,monthly,USD,kshah5@scu.edu
9/1/1949,9/30/1949,NULL,USA,unemp,4049,6.6,3635,5.9,monthly,USD,kshah5@scu.edu
10/1/1949,10/31/1949,NULL,USA,unemp,4916,7.9,3788,6.1,monthly,USD,kshah5@scu.edu
11/1/1949,11/30/1949,NULL,USA,unemp,3996,6.4,3570,5.7,monthly,USD,kshah5@scu.edu
12/1/1949,12/31/1949,NULL,USA,unemp,4063,6.6,3690,6,monthly,USD,kshah5@scu.edu
1/1/1950,1/31/1950,NULL,USA,unemp,4026,6.5,4648,7.6,monthly,USD,kshah5@scu.edu
2/1/1950,2/28/1950,NULL,USA,unemp,3936,6.4,4791,7.9,monthly,USD,kshah5@scu.edu
3/1/1950,3/31/1950,NULL,USA,unemp,3876,6.3,4313,7.1,monthly,USD,kshah5@scu.edu
4/1/1950,4/30/1950,NULL,USA,unemp,3575,5.8,3665,6,monthly,USD,kshah5@scu.edu
5/1/1950,5/31/1950,NULL,USA,unemp,3434,5.5,3263,5.3,monthly,USD,kshah5@scu.edu
6/1/1950,6/30/1950,NULL,USA,unemp,3367,5.4,3551,5.6,monthly,USD,kshah5@scu.edu
7/1/1950,7/31/1950,NULL,USA,unemp,3120,5,3316,5.3,monthly,USD,kshah5@scu.edu
8/1/1950,8/31/1950,NULL,USA,unemp,2799,4.5,2613,4.1,monthly,USD,kshah5@scu.edu
9/1/1950,9/30/1950,NULL,USA,unemp,2774,4.4,2490,4,monthly,USD,kshah5@scu.edu
