date,bond_var_hat,bond_equity_cov_hat,equity_var_hat,bond_forex_cov_hat,equity_forex_cov_hat,forex_var_hat,bond_gold_cov_hat,equity_gold_cov_hat,forex_gold_cov_hat,gold_var_hat,year,month,quarter,year_quarter
1990-03-31,3.030154341240513e-08,1.4191759045870324e-07,8.032649730729067e-05,-3.284363126332815e-08,3.3230203879871493e-06,2.5425745581452563e-05,-1.0560183834588164e-08,-3.1814429563586877e-06,-9.618196443397404e-06,0.00012733328184321295,1990,3,Q1,1990Q1
1990-06-30,3.068170014595157e-08,6.430740949775103e-08,6.454211370298653e-05,-6.411479084168349e-08,1.220991549802308e-06,1.1868615406856011e-05,-4.668227912012618e-09,-9.386394711911683e-07,-3.963166940522899e-06,8.75817600105306e-05,1990,6,Q2,1990Q2
1990-09-30,1.1123353408879196e-08,6.037430365428484e-08,0.00011154770960059292,-2.8351074503433576e-08,8.441750879652965e-06,2.8190422791757482e-05,-1.1090408703957614e-08,-2.570748741399007e-06,-5.11143231750964e-06,0.00014441118069881276,1990,9,Q3,1990Q3
1990-12-31,5.117866851854241e-08,1.4206552950520966e-07,6.360367475142629e-05,3.6862619381020214e-08,2.7813067184186206e-06,5.2386584134707865e-05,1.494693716856267e-08,-5.446100956875489e-06,1.7148303186467274e-06,0.00013809605075697503,1990,12,Q4,1990Q4
1991-03-31,1.72618018401508e-08,-3.320494980054454e-08,8.85260631531451e-05,-6.134151620589237e-08,-2.1634354329310706e-06,5.9811574015316704e-05,4.916200625785258e-08,-1.2835756989183327e-05,2.270932056263765e-06,6.719461428476206e-05,1991,3,Q1,1991Q1
1991-06-30,1.2173922430739714e-08,-1.1374238867630908e-07,9.49915630282555e-05,-1.5107842050721234e-07,3.271518015532989e-07,4.237341597099234e-05,-7.671593159111895e-09,-8.390033147586141e-06,1.1673997483198444e-05,7.525211973761498e-05,1991,6,Q2,1991Q2
1991-09-30,1.0298007225977372e-08,-9.536140722744952e-08,5.5231151127882466e-05,6.668063051091351e-09,-8.827539354346953e-06,5.2723428701801234e-05,4.924947032135073e-08,-7.795986901862489e-06,9.537208478981039e-06,4.6779138697740976e-05,1991,9,Q3,1991Q3
1991-12-31,2.182023224536228e-08,-1.3244207904669649e-08,6.858399671396728e-05,-1.2737661262086608e-07,-1.0203889545011882e-05,3.8263608477633706e-05,1.9666209052410333e-07,-9.668078501632367e-06,-7.839409921544227e-08,6.140686284483275e-05,1991,12,Q4,1991Q4
1992-03-31,8.00487021394122e-09,4.106728980468936e-09,5.255155249870917e-05,-6.803764569561289e-08,-1.7233860350987477e-06,4.305731755007702e-05,4.2799260018942597e-08,-3.07574035057028e-06,2.2583074228151723e-06,3.6655378342272354e-05,1992,3,Q1,1992Q1
1992-06-30,7.771923597784768e-09,1.0767793454924112e-07,4.815267807382086e-05,-8.444672493047138e-08,-5.313411930111588e-06,3.456813709811248e-05,1.2331448853159815e-08,-3.6821037247427804e-06,1.985244045691937e-06,1.7122518759869425e-05,1992,6,Q2,1992Q2
