date,bond_equity_cov_act,forex_equity_cov_act,gold_equity_cov_act,forex_bond_cov_act,gold_bond_cov_act,gold_forex_cov_act,equity_var_act,bond_var_act,gold_var_act,forex_var_act,bond_equity_cov_hat,bond_forex_cov_hat,equity_forex_cov_hat,bond_gold_cov_hat,equity_gold_cov_hat,forex_gold_cov_hat,equity_var_hat,bond_var_hat,gold_var_hat,forex_var_hat
31/03/2010,2.26E-10,-1.67E-05,5.60E-05,-1.60E-09,-8.98E-09,-2.56E-05,8.17E-05,7.30E-10,0.000127865,2.03E-05,1.16E-07,-9.14E-08,-9.74E-07,-2.01E-08,-1.20E-06,4.87E-06,0.000107102,9.18E-09,6.69E-05,2.71E-05
30/06/2010,-1.66E-07,-3.85E-05,6.20E-07,2.24E-08,1.02E-08,-1.64E-06,0.000245205,9.09E-10,9.88E-05,3.22E-05,1.85E-07,-7.48E-08,7.15E-07,-2.15E-08,5.84E-06,-6.34E-07,6.79E-05,1.03E-08,6.30E-05,2.64E-05
30/09/2010,1.30E-08,-2.27E-05,7.53E-06,-3.36E-09,-2.42E-08,-1.49E-06,0.000132131,2.70E-10,6.79E-05,2.95E-05,1.37E-07,-8.87E-08,-2.76E-07,-2.07E-08,-1.88E-06,4.41E-06,0.000107495,8.73E-09,6.90E-05,2.71E-05
31/12/2010,-7.43E-09,-2.59E-05,1.20E-05,-6.76E-09,-1.49E-09,-2.11E-05,5.52E-05,7.27E-10,0.000121532,3.66E-05,1.08E-07,-3.84E-08,-4.73E-06,-2.18E-08,1.39E-05,6.63E-07,6.28E-05,8.20E-09,4.55E-05,2.38E-05
31/03/2011,-1.73E-08,-1.13E-05,8.62E-06,1.37E-08,-4.55E-09,-1.33E-05,6.82E-05,7.45E-10,6.12E-05,2.13E-05,1.47E-07,-4.68E-08,-2.18E-06,-2.07E-08,8.25E-06,1.09E-06,6.25E-05,7.84E-09,4.64E-05,2.40E-05
30/06/2011,3.95E-09,-2.46E-05,2.14E-06,-8.04E-09,-1.44E-08,-1.08E-05,6.07E-05,4.67E-10,7.19E-05,3.17E-05,-3.31E-08,-3.91E-08,-3.97E-06,-2.04E-08,2.48E-06,-5.98E-06,0.000105373,7.75E-09,6.48E-05,2.66E-05
30/09/2011,3.40E-08,-6.88E-05,-9.28E-05,8.65E-09,6.76E-08,-5.23E-06,0.000437632,1.13E-09,0.000346872,3.90E-05,7.97E-08,-3.77E-08,2.38E-07,-2.08E-08,2.38E-06,-3.51E-06,6.73E-05,7.32E-09,5.68E-05,2.55E-05
31/12/2011,3.52E-08,-7.96E-05,6.47E-05,-1.43E-08,-2.42E-08,-2.03E-05,0.000280645,2.92E-10,0.000213917,3.67E-05,-1.88E-08,-3.43E-08,-3.16E-05,-1.82E-08,9.84E-07,-4.56E-06,0.00017906,5.39E-09,5.64E-05,2.53E-05
31/03/2012,-9.87E-09,-1.28E-05,1.52E-05,6.08E-09,-5.17E-08,-2.64E-05,3.63E-05,5.51E-10,0.000162137,2.27E-05,-2.81E-07,5.05E-08,-2.03E-05,-1.97E-08,2.28E-05,-2.38E-05,6.69E-05,4.41E-09,5.21E-05,2.47E-05
30/06/2012,-3.23E-08,-2.24E-05,2.32E-05,1.30E-08,-2.29E-08,-2.40E-05,0.000105588,5.13E-10,0.000146733,1.67E-05,2.43E-07,-8.05E-08,-2.27E-05,-1.98E-08,2.17E-05,6.73E-06,7.23E-05,5.23E-09,6.87E-05,2.68E-05
30/09/2012,-7.37E-09,-2.18E-05,2.50E-05,9.79E-09,-1.09E-08,-2.17E-05,6.15E-05,4.24E-10,7.87E-05,1.93E-05,2.65E-08,-3.18E-08,-2.12E-06,-1.99E-08,-3.13E-06,-9.64E-06,7.59E-05,5.32E-09,7.74E-05,2.75E-05
31/12/2012,-3.22E-08,-9.66E-06,7.75E-06,5.20E-09,2.68E-08,-7.19E-06,5.83E-05,1.41E-09,6.46E-05,9.18E-06,-2.42E-08,-3.67E-08,-4.73E-06,-1.99E-08,-1.26E-07,-6.82E-06,0.000105401,6.21E-09,7.43E-05,2.70E-05
31/03/2013,-7.12E-08,-8.20E-06,1.22E-05,-2.00E-08,-8.41E-09,-4.93E-06,4.65E-05,1.43E-09,4.83E-05,1.16E-05,7.11E-08,-3.82E-08,-5.44E-06,-1.75E-08,2.24E-06,-5.52E-06,7.29E-05,6.46E-09,7.16E-05,2.62E-05
30/06/2013,2.40E-09,-6.78E-06,4.57E-05,5.12E-09,-6.83E-09,-1.25E-05,7.92E-05,3.14E-10,0.000329993,2.20E-05,8.07E-09,-3.54E-08,-9.42E-07,-1.73E-08,-4.95E-07,-2.23E-06,9.37E-05,6.45E-09,5.55E-05,2.43E-05
30/09/2013,2.48E-08,1.26E-07,-2.39E-07,1.71E-08,-6.84E-08,-1.42E-05,3.26E-05,4.95E-10,0.000227379,2.10E-05,1.22E-07,-4.12E-08,-1.24E-06,-1.91E-08,1.49E-06,-1.09E-06,6.56E-05,2.45E-09,5.45E-05,2.40E-05
31/12/2013,6.64E-08,-1.66E-06,3.05E-06,-2.32E-08,1.11E-07,-2.28E-05,4.46E-05,1.16E-09,0.000147185,9.80E-06,9.81E-08,-5.44E-08,-3.16E-05,-1.95E-08,3.50E-06,2.15E-06,0.00019416,3.09E-09,6.32E-05,2.48E-05
31/03/2014,3.75E-08,9.60E-07,-2.19E-05,-3.34E-10,8.01E-09,-8.10E-06,5.45E-05,6.72E-10,8.59E-05,8.84E-06,3.04E-08,-2.35E-08,1.42E-06,-1.65E-08,-3.77E-06,-8.81E-06,6.87E-05,4.39E-09,6.61E-05,2.48E-05
30/06/2014,1.08E-08,1.13E-06,-1.47E-05,2.66E-09,1.48E-08,-3.77E-06,3.57E-05,2.90E-10,5.36E-05,4.42E-06,1.21E-08,-2.40E-08,8.44E-07,-1.70E-08,-5.51E-06,-9.04E-06,7.25E-05,4.73E-09,7.63E-05,2.54E-05
30/09/2014,-3.22E-08,-4.63E-08,-1.01E-06,-4.08E-09,1.07E-08,1.60E-06,3.51E-05,5.01E-10,4.51E-05,6.96E-06,9.51E-09,-1.49E-08,1.68E-06,-1.72E-08,-3.19E-06,-8.64E-06,6.47E-05,5.52E-09,5.93E-05,2.35E-05
31/12/2014,1.00E-08,1.26E-05,-1.52E-05,4.95E-09,-3.59E-08,-1.41E-05,8.05E-05,4.90E-10,8.31E-05,2.08E-05,-3.15E-08,-2.11E-08,-2.61E-05,-1.65E-08,2.83E-06,-5.38E-06,0.000155853,5.48E-09,5.51E-05,2.28E-05
31/03/2015,-1.28E-08,-1.05E-05,-8.34E-06,2.75E-09,-5.37E-09,-1.18E-05,7.76E-05,5.54E-10,9.05E-05,3.42E-05,3.42E-08,-3.26E-08,-2.30E-05,-1.68E-08,2.32E-06,-1.23E-06,0.000138708,4.57E-09,5.07E-05,2.23E-05
30/06/2015,6.23E-10,4.38E-06,3.45E-06,-1.58E-08,3.38E-08,-1.47E-05,4.16E-05,3.45E-10,6.32E-05,3.83E-05,-6.55E-09,-1.39E-08,5.38E-06,-1.65E-08,-8.68E-06,-1.06E-05,6.69E-05,4.53E-09,6.62E-05,2.38E-05
30/09/2015,-1.03E-07,2.99E-05,-2.67E-05,-1.97E-08,5.50E-08,-2.54E-05,0.000170655,2.16E-09,9.38E-05,2.93E-05,2.43E-08,-1.95E-08,-2.05E-06,-1.62E-08,4.90E-07,-8.20E-06,6.52E-05,4.68E-09,6.37E-05,2.37E-05
31/12/2015,-4.10E-08,1.92E-05,1.53E-05,-4.33E-09,-7.64E-08,-1.84E-05,9.18E-05,2.42E-09,8.52E-05,3.48E-05,-4.19E-08,-2.67E-08,-2.05E-05,-1.22E-08,-3.95E-06,-7.51E-06,0.000147062,4.17E-09,6.77E-05,2.40E-05
31/03/2016,-2.99E-08,8.81E-06,-3.62E-05,-7.01E-08,6.57E-08,-3.07E-05,0.000135896,3.16E-09,0.000160775,2.48E-05,-1.89E-07,-2.68E-09,1.16E-05,-1.26E-08,-1.74E-05,-1.68E-05,0.000106947,4.22E-09,8.09E-05,2.51E-05
30/06/2016,-5.51E-08,-1.67E-05,-3.84E-05,-3.92E-09,1.63E-07,-6.85E-07,7.25E-05,1.66E-09,0.000126068,2.62E-05,3.77E-08,-3.09E-08,8.04E-06,-1.04E-08,-1.26E-05,-9.11E-06,7.01E-05,3.70E-09,7.33E-05,2.45E-05
30/09/2016,5.60E-08,-4.07E-06,7.01E-07,-4.20E-08,9.16E-08,-9.46E-06,3.80E-05,3.09E-09,4.57E-05,1.66E-05,-2.10E-07,-1.57E-09,4.61E-06,-1.08E-08,-1.23E-05,-2.11E-05,0.000112618,3.45E-09,9.01E-05,2.57E-05
31/12/2016,-2.69E-08,1.76E-06,-5.18E-06,-6.47E-08,4.90E-08,-2.06E-05,3.14E-05,3.68E-09,7.37E-05,2.02E-05,-1.96E-08,-1.10E-08,-3.71E-06,-7.25E-09,4.52E-06,-7.36E-06,6.11E-05,4.46E-09,5.45E-05,2.28E-05
31/03/2017,-1.27E-08,4.95E-06,-1.15E-05,-5.82E-08,6.21E-08,-1.38E-05,1.79E-05,3.46E-09,7.28E-05,1.85E-05,5.18E-08,-3.12E-08,3.02E-07,-5.63E-09,-2.48E-06,-5.76E-06,6.45E-05,4.33E-09,6.33E-05,2.35E-05
30/06/2017,-3.56E-09,1.08E-06,-8.81E-06,4.30E-09,1.31E-08,-2.45E-06,2.15E-05,2.26E-09,4.88E-05,1.24E-05,-1.46E-08,-2.53E-08,2.18E-06,-5.23E-09,-7.39E-06,-1.19E-05,6.85E-05,4.48E-09,7.60E-05,2.44E-05
30/09/2017,-1.16E-08,5.00E-06,-9.95E-06,-5.54E-08,-5.94E-08,-5.88E-06,2.00E-05,3.70E-09,4.04E-05,1.50E-05,7.71E-09,-2.45E-08,3.14E-06,-6.98E-09,-7.05E-06,-9.81E-06,6.37E-05,4.63E-09,6.73E-05,2.37E-05
31/12/2017,-5.31E-09,4.28E-06,-2.40E-06,-6.05E-09,4.67E-09,-5.46E-06,1.22E-05,4.32E-09,2.35E-05,1.09E-05,4.31E-08,-2.62E-08,1.98E-06,-5.21E-09,-3.02E-06,-5.60E-06,5.78E-05,5.24E-09,5.61E-05,2.27E-05
31/03/2018,-6.00E-08,-1.18E-05,1.62E-05,-3.07E-08,2.06E-09,-1.53E-05,0.00015179,2.59E-09,3.45E-05,1.83E-05,3.23E-08,-2.90E-08,3.23E-06,-4.10E-09,-5.27E-06,-8.58E-06,5.76E-05,6.06E-09,5.88E-05,2.28E-05
30/06/2018,-3.10E-09,-2.67E-06,6.13E-06,8.69E-09,1.13E-09,-9.17E-06,5.43E-05,1.60E-09,2.99E-05,1.24E-05,-8.69E-09,-2.87E-08,2.94E-06,-6.86E-09,-4.05E-06,-5.63E-06,8.98E-05,5.15E-09,5.76E-05,2.27E-05
30/09/2018,-3.27E-08,-3.90E-06,4.04E-06,3.71E-09,-3.35E-08,-8.06E-06,2.00E-05,2.05E-09,2.65E-05,1.37E-05,6.20E-08,-3.49E-08,-2.16E-06,-8.39E-09,-8.73E-07,-6.12E-06,6.26E-05,5.00E-09,6.69E-05,2.34E-05
31/12/2018,1.62E-07,-1.78E-07,-5.26E-06,-2.20E-08,2.03E-08,-9.90E-06,0.000206971,2.94E-09,3.31E-05,1.39E-05,-3.64E-09,-2.88E-08,-1.97E-05,-7.93E-09,1.66E-06,-5.49E-06,0.000137965,5.07E-09,6.00E-05,2.28E-05
31/03/2019,-7.94E-08,-1.34E-06,-3.29E-06,5.80E-09,2.27E-09,-5.73E-06,7.17E-05,2.84E-09,3.03E-05,1.08E-05,4.88E-08,-2.87E-08,2.18E-07,-6.17E-09,-2.02E-06,-6.19E-06,5.84E-05,5.23E-09,5.88E-05,2.26E-05
30/06/2019,-8.13E-08,-1.82E-06,-4.42E-06,-5.14E-08,1.19E-07,-6.42E-06,5.24E-05,3.67E-09,5.08E-05,6.85E-06,3.81E-08,-2.53E-08,1.34E-06,-6.25E-09,-3.85E-06,-7.86E-06,5.93E-05,4.92E-09,6.02E-05,2.26E-05
30/09/2019,-2.12E-07,8.31E-06,-2.27E-05,-6.61E-08,1.64E-07,-9.06E-06,8.83E-05,4.38E-09,8.44E-05,8.80E-06,2.79E-08,-2.60E-08,9.34E-07,-3.61E-09,-2.47E-06,-6.19E-06,5.76E-05,4.78E-09,5.63E-05,2.20E-05
31/12/2019,-5.72E-08,1.71E-06,-7.57E-06,-3.26E-08,8.31E-08,-4.00E-06,3.64E-05,3.84E-09,4.89E-05,6.13E-06,-2.26E-08,-3.06E-08,9.27E-07,-7.95E-10,-1.76E-06,-5.46E-06,8.94E-05,3.82E-09,5.74E-05,2.19E-05
31/03/2020,-1.23E-06,4.16E-05,0.000276464,-1.84E-07,-1.31E-07,-2.05E-05,0.001264134,2.39E-08,0.000232889,3.90E-05,-8.53E-08,-2.20E-08,-1.50E-05,-8.32E-10,-3.01E-06,-8.96E-06,0.000142288,4.03E-09,5.97E-05,2.19E-05
