date,bond_var_hat,bond_equity_cov_hat,equity_var_hat,bond_forex_cov_hat,equity_forex_cov_hat,forex_var_hat,bond_gold_cov_hat,equity_gold_cov_hat,forex_gold_cov_hat,gold_var_hat,year,month,quarter,year_quarter
1990-03-31,2.6431896726145856e-08,7.923758952161908e-08,6.778797085766301e-05,-4.637459160344109e-08,5.916666756247096e-06,2.364765256312403e-05,-5.85668502679796e-08,-3.6132297302308424e-06,-9.274839863358408e-06,0.00010850303113405833,1990,3,Q1,1990Q1
1990-06-30,2.0055948066352244e-08,8.088981709676068e-08,6.866362594888576e-05,-6.984835893788671e-09,2.3150873352669437e-06,1.6699968517948272e-05,-2.948906587262466e-08,-6.635469322445525e-07,-4.35638942546452e-06,7.283145989360044e-05,1990,6,Q2,1990Q2
1990-09-30,1.3774624130793157e-08,9.242330395565181e-08,8.928507615362042e-05,-3.1730314338096524e-08,7.98736790793706e-06,3.284415204954989e-05,-1.2560835534211647e-08,-4.9885131978080475e-06,-1.1129489527529935e-05,0.00017937589484515924,1990,9,Q3,1990Q3
1990-12-31,2.071941329896432e-08,8.554272570527649e-08,0.00010598372392895902,-3.0409037309601615e-09,3.826613415938093e-06,5.224104991981122e-05,4.417895518257808e-08,-6.062052815647078e-06,-3.3876433279848737e-06,7.338497073961495e-05,1990,12,Q4,1990Q4
1991-03-31,1.837242036948666e-08,1.431631464500594e-08,0.00010513677285797745,-4.8959894065080746e-08,3.195604102246717e-07,5.72201129414207e-05,-5.763358680512542e-09,-1.0628700786540596e-05,-3.1024292940460183e-06,6.881744312044474e-05,1991,3,Q1,1991Q1
1991-06-30,1.611915198875563e-08,-4.322184891615466e-08,9.935113006050226e-05,-1.4773107060298365e-07,1.3710570765660738e-06,4.137120656675177e-05,-2.322816207471799e-08,-6.062033043194661e-06,5.010976992670677e-06,7.760126231351229e-05,1991,6,Q2,1991Q2
1991-09-30,1.4576254926581331e-08,-5.179286000113371e-08,7.408258609203666e-05,-1.4545103656916614e-08,-1.9994530832383611e-07,4.102057011827622e-05,5.754913591934702e-08,-4.951993726794187e-06,4.956902640123364e-06,6.165338941427502e-05,1991,9,Q3,1991Q3
1991-12-31,2.5559063851000245e-08,-2.3663268558375012e-08,0.00010285292264671738,-1.1622817183317889e-07,-6.48975035692842e-06,2.9243456420189974e-05,1.5525837892098127e-07,-7.67565341680694e-06,-1.317043120443628e-06,5.3647559993151944e-05,1991,12,Q4,1991Q4
1992-03-31,1.2657154234906196e-08,1.5721816373375277e-08,5.684743097007803e-05,-3.4034515049058104e-08,1.579668139319334e-06,3.8105423216629366e-05,2.690046023801893e-08,-6.5480689812323226e-06,2.3896168540814154e-06,3.657382279143154e-05,1992,3,Q1,1992Q1
1992-06-30,1.1565506311516884e-08,3.2379239614200526e-08,4.6695026024317723e-05,-5.221726367054831e-08,-3.5848715258229943e-06,3.467425095072284e-05,4.8191652084135705e-09,-3.689835577629486e-06,2.903170568776638e-06,1.6041899797335854e-05,1992,6,Q2,1992Q2
1992-09-30,1.2811886011615355e-08,1.588557322083826e-08,3.592744890934717e-05,-2.1071543133271716e-08,-3.517459179887444e-06,8.783319976207966e-05,6.306089722085935e-08,-4.27292796507852e-06,7.379927230740278e-06,3.548677737279395e-05,1992,9,Q3,1992Q3
1992-12-31,3.214929488256198e-09,1.0409010881802658e-08,2.808608132587261e-05,-4.533429173426802e-08,-1.451180027492453e-06,4.133192355545738e-05,2.430884025252008e-08,-2.669498005670513e-06,2.2012244936692276e-06,2.3444736885143383e-05,1992,12,Q4,1992Q4
1993-03-31,5.125108062393709e-09,2.638895565190822e-08,3.598152863186317e-05,-7.563896799714452e-08,3.128515133167163e-07,3.5400327608467454e-05,1.3922807090819651e-08,-6.352282137984692e-07,-6.859530000829602e-07,1.960894166814393e-05,1993,3,Q1,1993Q1
1993-06-30,5.9440405558313155e-09,7.405628668325343e-08,3.4709575069329134e-05,-7.022488875193481e-08,9.175318915473452e-07,3.9543000854492743e-05,2.5214886265208287e-08,-3.1343791899993144e-06,1.8605110582381248e-06,8.090328937177006e-05,1993,6,Q2,1993Q2
1993-09-30,5.263154857311625e-09,8.19526940990587e-08,2.76010859983342e-05,-7.562089938607949e-08,2.145923402052509e-06,3.588464830131549e-05,1.888025653541724e-08,-1.479093979193425e-06,1.3248079967803327e-06,8.397681616415125e-05,1993,9,Q3,1993Q3
1993-12-31,5.076280844838057e-09,6.164274556860249e-08,1.93641147002827e-05,-6.20812965445494e-08,1.0008742358916257e-06,2.9957824128836393e-05,-2.3019173332553108e-10,-1.5895359478583602e-06,2.563928596844055e-06,4.948673422768919e-05,1993,12,Q4,1993Q4
1994-03-31,7.201859381433612e-09,1.1368530591347288e-07,2.9665106274152542e-05,-7.154688595827902e-08,2.0962791012650714e-06,2.264814887528621e-05,-1.5405575270935074e-09,-7.385866357172269e-07,4.968447454148672e-07,4.293488809914527e-05,1994,3,Q1,1994Q1
1994-06-30,4.674748516080843e-09,1.1759901676556651e-07,3.837696410184033e-05,-2.664378294269395e-08,6.163930262027216e-06,2.0061655062403768e-05,-1.5622421032216644e-08,-4.99810841319072e-07,3.766964538042617e-07,3.429485316160064e-05,1994,6,Q2,1994Q2
1994-09-30,2.339128335797671e-08,2.6340108093513273e-07,3.38038535095791e-05,-3.533465148313353e-08,4.101690829200107e-06,2.2908216353134225e-05,-5.733640440033643e-08,-2.9774165104464237e-06,-6.839216554449596e-07,2.0066698607387126e-05,1994,9,Q3,1994Q3
1994-12-31,1.8338492100962588e-08,2.0979217250044675e-07,3.330815530580449e-05,-5.125152982873239e-08,3.5317260712904974e-06,2.074392992495839e-05,-2.782026733086278e-08,-1.5725382361362302e-06,-8.510796239026861e-07,1.2810230515947126e-05,1994,12,Q4,1994Q4
1995-03-31,1.726762441446668e-08,1.87638934004788e-07,2.5763810191161966e-05,-4.6074832562458636e-08,3.905806466428964e-06,2.7037971739791724e-05,-2.599135629669668e-08,-2.1487129871393226e-06,-2.0366086833504175e-06,1.6352062183154424e-05,1995,3,Q1,1995Q1
1995-06-30,2.0941615395561633e-08,1.9273503186254894e-07,3.35578883994332e-05,6.22719388262319e-08,7.772346303565118e-06,4.062042924963527e-05,-2.1317328208116766e-08,-2.414691386351627e-06,-3.4960435339446153e-06,1.6840176616323246e-05,1995,6,Q2,1995Q2
1995-09-30,1.5716091724961883e-08,1.405477671349323e-07,2.4305185089010435e-05,1.8807086527116784e-08,6.446789804521689e-06,4.597541563643284e-05,-2.6491118825276552e-08,-1.6542061389628471e-06,-1.9385738963429125e-06,9.994005841472032e-06,1995,9,Q3,1995Q3
1995-12-31,1.9819060993228762e-08,1.2513995477148223e-07,3.22429458086688e-05,-1.2674203942680733e-08,5.176291628586513e-06,1.967301679644808e-05,-1.9999650458902765e-08,-1.5186280957312778e-06,-2.31695031114472e-06,1.1243135743424543e-05,1995,12,Q4,1995Q4
1996-03-31,7.369456473147851e-09,1.1273083511546379e-07,4.964701488157345e-05,1.0933763093646511e-08,3.6714450881608937e-06,1.1212266210731558e-05,-3.009603940436447e-08,-2.89931693856653e-06,-1.4282993651739364e-06,2.167261359943062e-05,1996,3,Q1,1996Q1
1996-06-30,8.822818837618557e-09,6.472265195068102e-08,2.7832033128535238e-05,-1.3457126255888403e-08,3.294968679017832e-06,9.140923114466659e-06,5.493814146808473e-09,-2.219942461307698e-06,-9.847918516715943e-07,1.2046464136606159e-05,1996,6,Q2,1996Q2
1996-09-30,1.5091338151799366e-08,8.816533715472014e-08,3.280443591862307e-05,-1.5418570023954055e-08,2.5339862024402157e-06,8.358766667622767e-06,9.001106837554475e-09,-1.3132201979344811e-06,-9.003043663998357e-07,8.06751907001589e-06,1996,9,Q3,1996Q3
1996-12-31,7.943254149801364e-09,6.290235509459088e-08,5.1628747486706905e-05,1.0371672029058828e-08,4.0194189688386535e-06,9.10137012467215e-06,-5.711296956078246e-10,-1.6009222005559777e-06,-6.013170751596111e-07,9.748877417344058e-06,1996,12,Q4,1996Q4
1997-03-31,1.5143185260040036e-08,1.955764135661033e-07,8.277083902413685e-05,-7.71524891944283e-10,5.660147729074699e-06,1.712291188807129e-05,-2.8545284509791838e-08,-6.848459833045882e-06,-1.452588739084388e-07,4.9043580782620216e-05,1997,3,Q1,1997Q1
1997-06-30,1.6476173326563144e-08,9.207561721845193e-08,0.00010836639935904061,2.7272410590305267e-08,6.432446107018491e-06,2.0095865484503394e-05,3.196149769659327e-08,-1.8012274487816785e-06,4.6071796629293554e-09,1.2850569727070197e-05,1997,6,Q2,1997Q2
