date,symbols,open,high,low,close,adj_close,bond_ret,volume,frequency,currency,author
1/4/1982,DGS3MO,,,,,11.87,,,daily,USD,dzhang4@scu.edu
1/5/1982,DGS3MO,,,,,12.2,-0.000510425,,daily,USD,dzhang4@scu.edu
1/6/1982,DGS3MO,,,,,12.16,0.000452696,,daily,USD,dzhang4@scu.edu
1/7/1982,DGS3MO,,,,,12.17,0.000322584,,daily,USD,dzhang4@scu.edu
1/8/1982,DGS3MO,,,,,11.98,0.000838569,,daily,USD,dzhang4@scu.edu
1/11/1982,DGS3MO,,,,,12.49,-0.000285209,,daily,USD,dzhang4@scu.edu
1/12/1982,DGS3MO,,,,,12.52,0.00028071,,daily,USD,dzhang4@scu.edu
1/13/1982,DGS3MO,,,,,12.7,-0.000105525,,daily,USD,dzhang4@scu.edu
1/14/1982,DGS3MO,,,,,13.17,-0.000849184,,daily,USD,dzhang4@scu.edu
1/15/1982,DGS3MO,,,,,12.74,0.001489888,,daily,USD,dzhang4@scu.edu
1/18/1982,DGS3MO,,,,,13.41,-0.000633511,,daily,USD,dzhang4@scu.edu
1/19/1982,DGS3MO,,,,,13.13,0.001109703,,daily,USD,dzhang4@scu.edu
1/20/1982,DGS3MO,,,,,13.51,-0.000605142,,daily,USD,dzhang4@scu.edu
1/21/1982,DGS3MO,,,,,13.65,2.62E-05,,daily,USD,dzhang4@scu.edu
1/22/1982,DGS3MO,,,,,13.63,0.000444329,,daily,USD,dzhang4@scu.edu
1/25/1982,DGS3MO,,,,,14.06,6.29794E-05,,daily,USD,dzhang4@scu.edu
1/26/1982,DGS3MO,,,,,13.65,0.001467125,,daily,USD,dzhang4@scu.edu
1/27/1982,DGS3MO,,,,,13.4,0.001039645,,daily,USD,dzhang4@scu.edu
1/28/1982,DGS3MO,,,,,12.84,0.001833649,,daily,USD,dzhang4@scu.edu
1/29/1982,DGS3MO,,,,,13.08,-0.000251403,,daily,USD,dzhang4@scu.edu
2/1/1982,DGS3MO,,,,,14.77,-0.00324098,,daily,USD,dzhang4@scu.edu
2/2/1982,DGS3MO,,,,,14.49,0.001152847,,daily,USD,dzhang4@scu.edu
2/3/1982,DGS3MO,,,,,14.64,2.85E-05,,daily,USD,dzhang4@scu.edu
2/4/1982,DGS3MO,,,,,14.38,0.00109681,,daily,USD,dzhang4@scu.edu
2/5/1982,DGS3MO,,,,,14.63,-0.000233967,,daily,USD,dzhang4@scu.edu
2/8/1982,DGS3MO,,,,,15.04,0.000201538,,daily,USD,dzhang4@scu.edu
2/9/1982,DGS3MO,,,,,14.91,0.000771797,,daily,USD,dzhang4@scu.edu
2/10/1982,DGS3MO,,,,,14.88,0.000508106,,daily,USD,dzhang4@scu.edu
2/11/1982,DGS3MO,,,,,15.06,-3.81E-05,,daily,USD,dzhang4@scu.edu
2/16/1982,DGS3MO,,,,,15.49,0.001056442,,daily,USD,dzhang4@scu.edu
2/17/1982,DGS3MO,,,,,15.31,0.00091574,,daily,USD,dzhang4@scu.edu
2/18/1982,DGS3MO,,,,,14.58,0.002339835,,daily,USD,dzhang4@scu.edu
2/19/1982,DGS3MO,,,,,14.17,0.001484095,,daily,USD,dzhang4@scu.edu
2/22/1982,DGS3MO,,,,,13.13,0.003919688,,daily,USD,dzhang4@scu.edu
2/23/1982,DGS3MO,,,,,12.93,0.00089407,,daily,USD,dzhang4@scu.edu
2/24/1982,DGS3MO,,,,,12.83,0.000629516,,daily,USD,dzhang4@scu.edu
2/25/1982,DGS3MO,,,,,12.79,0.000471513,,daily,USD,dzhang4@scu.edu
2/26/1982,DGS3MO,,,,,13,-0.000175328,,daily,USD,dzhang4@scu.edu
