date,symbols,open,high,low,close,adj_close,volume,frequency,currency,author
12/29/78,GC,0,0,0,0,226.00,0,daily,USD,rmdavis@scu.edu
1/1/79,GC,0,0,0,0,226.00,0,daily,USD,rmdavis@scu.edu
1/2/79,GC,0,0,0,0,226.80,0,daily,USD,rmdavis@scu.edu
1/3/79,GC,0,0,0,0,218.60,0,daily,USD,rmdavis@scu.edu
1/4/79,GC,0,0,0,0,223.20,0,daily,USD,rmdavis@scu.edu
1/5/79,GC,0,0,0,0,225.50,0,daily,USD,rmdavis@scu.edu
1/8/79,GC,0,0,0,0,223.10,0,daily,USD,rmdavis@scu.edu
1/9/79,GC,0,0,0,0,224.00,0,daily,USD,rmdavis@scu.edu
1/10/79,GC,0,0,0,0,220.70,0,daily,USD,rmdavis@scu.edu
1/11/79,GC,0,0,0,0,220.70,0,daily,USD,rmdavis@scu.edu
1/12/79,GC,0,0,0,0,217.60,0,daily,USD,rmdavis@scu.edu
1/15/79,GC,0,0,0,0,216.90,0,daily,USD,rmdavis@scu.edu
1/16/79,GC,0,0,0,0,220.70,0,daily,USD,rmdavis@scu.edu
1/17/79,GC,0,0,0,0,227.30,0,daily,USD,rmdavis@scu.edu
1/18/79,GC,0,0,0,0,231.80,0,daily,USD,rmdavis@scu.edu
1/19/79,GC,0,0,0,0,230.60,0,daily,USD,rmdavis@scu.edu
1/22/79,GC,0,0,0,0,235.00,0,daily,USD,rmdavis@scu.edu
1/23/79,GC,0,0,0,0,230.00,0,daily,USD,rmdavis@scu.edu
1/24/79,GC,0,0,0,0,236.10,0,daily,USD,rmdavis@scu.edu
1/25/79,GC,0,0,0,0,233.90,0,daily,USD,rmdavis@scu.edu
1/26/79,GC,0,0,0,0,235.50,0,daily,USD,rmdavis@scu.edu
1/29/79,GC,0,0,0,0,235.20,0,daily,USD,rmdavis@scu.edu
1/30/79,GC,0,0,0,0,233.50,0,daily,USD,rmdavis@scu.edu
1/31/79,GC,0,0,0,0,233.70,0,daily,USD,rmdavis@scu.edu
2/1/79,GC,0,0,0,0,229.40,0,daily,USD,rmdavis@scu.edu
2/2/79,GC,0,0,0,0,230.30,0,daily,USD,rmdavis@scu.edu
2/5/79,GC,0,0,0,0,243.10,0,daily,USD,rmdavis@scu.edu
2/6/79,GC,0,0,0,0,244.50,0,daily,USD,rmdavis@scu.edu
2/7/79,GC,0,0,0,0,251.60,0,daily,USD,rmdavis@scu.edu
2/8/79,GC,0,0,0,0,250.50,0,daily,USD,rmdavis@scu.edu
2/9/79,GC,0,0,0,0,246.80,0,daily,USD,rmdavis@scu.edu
2/12/79,GC,0,0,0,0,244.30,0,daily,USD,rmdavis@scu.edu
2/13/79,GC,0,0,0,0,240.60,0,daily,USD,rmdavis@scu.edu
2/14/79,GC,0,0,0,0,240.70,0,daily,USD,rmdavis@scu.edu
2/15/79,GC,0,0,0,0,247.80,0,daily,USD,rmdavis@scu.edu
2/16/79,GC,0,0,0,0,247.10,0,daily,USD,rmdavis@scu.edu
2/19/79,GC,0,0,0,0,248.10,0,daily,USD,rmdavis@scu.edu
2/20/79,GC,0,0,0,0,247.00,0,daily,USD,rmdavis@scu.edu
2/21/79,GC,0,0,0,0,250.80,0,daily,USD,rmdavis@scu.edu
2/22/79,GC,0,0,0,0,252.40,0,daily,USD,rmdavis@scu.edu
2/23/79,GC,0,0,0,0,251.00,0,daily,USD,rmdavis@scu.edu
2/26/79,GC,0,0,0,0,248.60,0,daily,USD,rmdavis@scu.edu
2/27/79,GC,0,0,0,0,247.90,0,daily,USD,rmdavis@scu.edu
2/28/79,GC,0,0,0,0,251.30,0,daily,USD,rmdavis@scu.edu
3/1/79,GC,0,0,0,0,248.80,0,daily,USD,rmdavis@scu.edu
3/2/79,GC,0,0,0,0,248.00,0,daily,USD,rmdavis@scu.edu
3/5/79,GC,0,0,0,0,238.20,0,daily,USD,rmdavis@scu.edu
3/6/79,GC,0,0,0,0,239.80,0,daily,USD,rmdavis@scu.edu
