start_date,end_date,reported_date,country,indicator,infl_gw_rate,frequency,currency,author
1/1/1960,3/31/1960,null,USA,inflation,-0.113378685,quarterly,USD,kshah5@scu.edu
1/4/1960,6/30/1960,null,USA,inflation,0.56753689,quarterly,USD,kshah5@scu.edu
1/7/1960,9/30/1960,null,USA,inflation,0.225733634,quarterly,USD,kshah5@scu.edu
1/10/1960,12/31/1960,null,USA,inflation,0.675675676,quarterly,USD,kshah5@scu.edu
1/1/1961,3/31/1961,null,USA,inflation,0,quarterly,USD,kshah5@scu.edu
1/4/1961,6/30/1961,null,USA,inflation,0,quarterly,USD,kshah5@scu.edu
1/7/1961,9/30/1961,null,USA,inflation,0.559284116,quarterly,USD,kshah5@scu.edu
1/10/1961,12/31/1961,null,USA,inflation,0.111234705,quarterly,USD,kshah5@scu.edu
1/1/1962,3/31/1962,null,USA,inflation,0.222222222,quarterly,USD,kshah5@scu.edu
1/4/1962,6/30/1962,null,USA,inflation,0.44345898,quarterly,USD,kshah5@scu.edu
1/7/1962,9/30/1962,null,USA,inflation,0.441501104,quarterly,USD,kshah5@scu.edu
1/10/1962,12/31/1962,null,USA,inflation,0.21978022,quarterly,USD,kshah5@scu.edu
1/1/1963,3/31/1963,null,USA,inflation,0.109649123,quarterly,USD,kshah5@scu.edu
1/4/1963,6/30/1963,null,USA,inflation,0.328587076,quarterly,USD,kshah5@scu.edu
1/7/1963,9/30/1963,null,USA,inflation,0.545851528,quarterly,USD,kshah5@scu.edu
1/10/1963,12/31/1963,null,USA,inflation,0.434310532,quarterly,USD,kshah5@scu.edu
1/1/1964,3/31/1964,null,USA,inflation,0.216216216,quarterly,USD,kshah5@scu.edu
1/4/1964,6/30/1964,null,USA,inflation,0.107874865,quarterly,USD,kshah5@scu.edu
1/7/1964,9/30/1964,null,USA,inflation,0.431034483,quarterly,USD,kshah5@scu.edu
1/10/1964,12/31/1964,null,USA,inflation,0.321888412,quarterly,USD,kshah5@scu.edu
1/1/1965,3/31/1965,null,USA,inflation,0.213903743,quarterly,USD,kshah5@scu.edu
1/4/1965,6/30/1965,null,USA,inflation,0.747065101,quarterly,USD,kshah5@scu.edu
1/7/1965,9/30/1965,null,USA,inflation,0.423728814,quarterly,USD,kshah5@scu.edu
1/10/1965,12/31/1965,null,USA,inflation,0.421940928,quarterly,USD,kshah5@scu.edu
1/1/1966,3/31/1966,null,USA,inflation,0.735294118,quarterly,USD,kshah5@scu.edu
1/4/1966,6/30/1966,null,USA,inflation,1.147028154,quarterly,USD,kshah5@scu.edu
1/7/1966,9/30/1966,null,USA,inflation,0.927835052,quarterly,USD,kshah5@scu.edu
1/10/1966,12/31/1966,null,USA,inflation,0.817160368,quarterly,USD,kshah5@scu.edu
1/1/1967,3/31/1967,null,USA,inflation,0.101317123,quarterly,USD,kshah5@scu.edu
1/4/1967,6/30/1967,null,USA,inflation,0.809716599,quarterly,USD,kshah5@scu.edu
1/7/1967,9/30/1967,null,USA,inflation,0.903614458,quarterly,USD,kshah5@scu.edu
1/10/1967,12/31/1967,null,USA,inflation,0.895522388,quarterly,USD,kshah5@scu.edu
1/1/1968,3/31/1968,null,USA,inflation,1.183431953,quarterly,USD,kshah5@scu.edu
1/4/1968,6/30/1968,null,USA,inflation,0.974658869,quarterly,USD,kshah5@scu.edu
1/7/1968,9/30/1968,null,USA,inflation,1.351351351,quarterly,USD,kshah5@scu.edu
1/10/1968,12/31/1968,null,USA,inflation,1.142857143,quarterly,USD,kshah5@scu.edu
1/1/1969,3/31/1969,null,USA,inflation,1.224105461,quarterly,USD,kshah5@scu.edu
1/4/1969,6/30/1969,null,USA,inflation,1.674418605,quarterly,USD,kshah5@scu.edu
1/7/1969,9/30/1969,null,USA,inflation,1.463860933,quarterly,USD,kshah5@scu.edu
1/10/1969,12/31/1969,null,USA,inflation,1.442741208,quarterly,USD,kshah5@scu.edu
1/1/1970,3/31/1970,null,USA,inflation,1.333333333,quarterly,USD,kshah5@scu.edu
1/4/1970,6/30/1970,null,USA,inflation,1.666666667,quarterly,USD,kshah5@scu.edu
1/7/1970,9/30/1970,null,USA,inflation,1.121656601,quarterly,USD,kshah5@scu.edu
1/10/1970,12/31/1970,null,USA,inflation,1.365187713,quarterly,USD,kshah5@scu.edu
1/1/1971,3/31/1971,null,USA,inflation,0.757575758,quarterly,USD,kshah5@scu.edu
1/4/1971,6/30/1971,null,USA,inflation,1.086048454,quarterly,USD,kshah5@scu.edu
1/7/1971,9/30/1971,null,USA,inflation,1.074380165,quarterly,USD,kshah5@scu.edu
1/10/1971,12/31/1971,null,USA,inflation,0.490596893,quarterly,USD,kshah5@scu.edu
1/1/1972,3/31/1972,null,USA,inflation,0.732302685,quarterly,USD,kshah5@scu.edu
1/4/1972,6/30/1972,null,USA,inflation,0.807754443,quarterly,USD,kshah5@scu.edu
1/7/1972,9/30/1972,null,USA,inflation,0.961538462,quarterly,USD,kshah5@scu.edu
1/10/1972,12/31/1972,null,USA,inflation,0.952380952,quarterly,USD,kshah5@scu.edu
1/1/1973,3/31/1973,null,USA,inflation,1.257861635,quarterly,USD,kshah5@scu.edu
1/4/1973,6/30/1973,null,USA,inflation,2.251552795,quarterly,USD,kshah5@scu.edu
1/7/1973,9/30/1973,null,USA,inflation,2.201974184,quarterly,USD,kshah5@scu.edu
1/10/1973,12/31/1973,null,USA,inflation,2.303120357,quarterly,USD,kshah5@scu.edu
1/1/1974,3/31/1974,null,USA,inflation,2.832244009,quarterly,USD,kshah5@scu.edu
1/4/1974,6/30/1974,null,USA,inflation,2.824858757,quarterly,USD,kshah5@scu.edu
1/7/1974,9/30/1974,null,USA,inflation,3.021978022,quarterly,USD,kshah5@scu.edu
1/10/1974,12/31/1974,null,USA,inflation,3,quarterly,USD,kshah5@scu.edu
1/1/1975,3/31/1975,null,USA,inflation,1.812297735,quarterly,USD,kshah5@scu.edu
1/4/1975,6/30/1975,null,USA,inflation,1.52574698,quarterly,USD,kshah5@scu.edu
1/7/1975,9/30/1975,null,USA,inflation,2.12899186,quarterly,USD,kshah5@scu.edu
1/10/1975,12/31/1975,null,USA,inflation,1.59411404,quarterly,USD,kshah5@scu.edu
1/1/1976,3/31/1976,null,USA,inflation,0.965600483,quarterly,USD,kshah5@scu.edu
1/4/1976,6/30/1976,null,USA,inflation,1.255230126,quarterly,USD,kshah5@scu.edu
1/7/1976,9/30/1976,null,USA,inflation,1.593860685,quarterly,USD,kshah5@scu.edu
1/10/1976,12/31/1976,null,USA,inflation,1.162115049,quarterly,USD,kshah5@scu.edu
1/1/1977,3/31/1977,null,USA,inflation,1.723147616,quarterly,USD,kshah5@scu.edu
1/4/1977,6/30/1977,null,USA,inflation,2.20214568,quarterly,USD,kshah5@scu.edu
1/7/1977,9/30/1977,null,USA,inflation,1.436464088,quarterly,USD,kshah5@scu.edu
1/10/1977,12/31/1977,null,USA,inflation,1.089324619,quarterly,USD,kshah5@scu.edu
1/1/1978,3/31/1978,null,USA,inflation,1.724137931,quarterly,USD,kshah5@scu.edu
1/4/1978,6/30/1978,null,USA,inflation,2.542372881,quarterly,USD,kshah5@scu.edu
1/7/1978,9/30/1978,null,USA,inflation,2.376033058,quarterly,USD,kshah5@scu.edu
1/10/1978,12/31/1978,null,USA,inflation,2.018163471,quarterly,USD,kshah5@scu.edu
1/1/1979,3/31/1979,null,USA,inflation,2.472799209,quarterly,USD,kshah5@scu.edu
1/4/1979,6/30/1979,null,USA,inflation,3.474903475,quarterly,USD,kshah5@scu.edu
1/7/1979,9/30/1979,null,USA,inflation,3.311567164,quarterly,USD,kshah5@scu.edu
1/10/1979,12/31/1979,null,USA,inflation,2.844243792,quarterly,USD,kshah5@scu.edu
1/1/1980,3/31/1980,null,USA,inflation,3.950834065,quarterly,USD,kshah5@scu.edu
1/4/1980,6/30/1980,null,USA,inflation,3.673986486,quarterly,USD,kshah5@scu.edu
1/7/1980,9/30/1980,null,USA,inflation,1.83299389,quarterly,USD,kshah5@scu.edu
1/10/1980,12/31/1980,null,USA,inflation,2.64,quarterly,USD,kshah5@scu.edu
1/1/1981,3/31/1981,null,USA,inflation,2.650038971,quarterly,USD,kshah5@scu.edu
1/4/1981,6/30/1981,null,USA,inflation,2.3158694,quarterly,USD,kshah5@scu.edu
1/7/1981,9/30/1981,null,USA,inflation,2.820037106,quarterly,USD,kshah5@scu.edu
1/10/1981,12/31/1981,null,USA,inflation,1.443522194,quarterly,USD,kshah5@scu.edu
1/1/1982,3/31/1982,null,USA,inflation,0.818214159,quarterly,USD,kshah5@scu.edu
1/4/1982,6/30/1982,null,USA,inflation,1.517290049,quarterly,USD,kshah5@scu.edu
1/7/1982,9/30/1982,null,USA,inflation,1.876955162,quarterly,USD,kshah5@scu.edu
1/10/1982,12/31/1982,null,USA,inflation,0.238826339,quarterly,USD,kshah5@scu.edu
1/1/1983,3/31/1983,null,USA,inflation,-0.068073519,quarterly,USD,kshah5@scu.edu
1/4/1983,6/30/1983,null,USA,inflation,1.260217984,quarterly,USD,kshah5@scu.edu
1/7/1983,9/30/1983,null,USA,inflation,1.177262025,quarterly,USD,kshah5@scu.edu
1/10/1983,12/31/1983,null,USA,inflation,0.897606383,quarterly,USD,kshah5@scu.edu
1/1/1984,3/31/1984,null,USA,inflation,1.120263591,quarterly,USD,kshah5@scu.edu
1/4/1984,6/30/1984,null,USA,inflation,1.075268817,quarterly,USD,kshah5@scu.edu
1/7/1984,9/30/1984,null,USA,inflation,1.096067054,quarterly,USD,kshah5@scu.edu
1/10/1984,12/31/1984,null,USA,inflation,0.733418367,quarterly,USD,kshah5@scu.edu
1/1/1985,3/31/1985,null,USA,inflation,0.633111744,quarterly,USD,kshah5@scu.edu
1/4/1985,6/30/1985,null,USA,inflation,1.226800881,quarterly,USD,kshah5@scu.edu
1/7/1985,9/30/1985,null,USA,inflation,0.714729646,quarterly,USD,kshah5@scu.edu
1/10/1985,12/31/1985,null,USA,inflation,0.89478556,quarterly,USD,kshah5@scu.edu
1/1/1986,3/31/1986,null,USA,inflation,0.214067278,quarterly,USD,kshah5@scu.edu
1/4/1986,6/30/1986,null,USA,inflation,-0.213610009,quarterly,USD,kshah5@scu.edu
1/7/1986,9/30/1986,null,USA,inflation,0.733944954,quarterly,USD,kshah5@scu.edu
1/10/1986,12/31/1986,null,USA,inflation,0.546448087,quarterly,USD,kshah5@scu.edu
1/1/1987,3/31/1987,null,USA,inflation,1.117149758,quarterly,USD,kshah5@scu.edu
